"Year","cons","crab_sp","codvar"
1985,53908.7223905097,"opilio","pcod60"
1986,60129.5001709625,"opilio","pcod60"
1987,47537.4420609623,"opilio","pcod60"
1988,14806.398778274,"opilio","pcod60"
1989,23169.7076273884,"opilio","pcod60"
1990,12217.6661377619,"opilio","pcod60"
1991,17464.6883783267,"opilio","pcod60"
1992,32235.9374192276,"opilio","pcod60"
1993,18784.1384349514,"opilio","pcod60"
1994,44419.0700573084,"opilio","pcod60"
1995,17892.8840384631,"opilio","pcod60"
1996,23656.7690643242,"opilio","pcod60"
1997,27693.7603598268,"opilio","pcod60"
1998,32578.559631897,"opilio","pcod60"
1999,20786.5263724912,"opilio","pcod60"
2000,41079.4949300791,"opilio","pcod60"
2001,45069.4919419193,"opilio","pcod60"
2002,21531.7291583343,"opilio","pcod60"
2003,24535.9462836322,"opilio","pcod60"
2004,NA,"opilio","pcod60"
2005,26013.1035111041,"opilio","pcod60"
2006,3969.88983320487,"opilio","pcod60"
2007,7109.38073924423,"opilio","pcod60"
2008,9586.01700096639,"opilio","pcod60"
2009,10851.532981918,"opilio","pcod60"
2010,18712.4764267932,"opilio","pcod60"
2011,20161.6026340452,"opilio","pcod60"
2012,15455.9889641406,"opilio","pcod60"
2013,20668.8009174779,"opilio","pcod60"
2014,46772.5156643781,"opilio","pcod60"
2015,64065.2003599235,"opilio","pcod60"
2016,63858.1052971231,"opilio","pcod60"
2017,24252.0125272965,"opilio","pcod60"
2018,26847.1623979685,"opilio","pcod60"
2019,7879.28912579159,"opilio","pcod60"
2020,NA,"opilio","pcod60"
2021,16134.5788920503,"opilio","pcod60"
2022,28410.348257612,"opilio","pcod60"
2023,13636.2792044587,"opilio","pcod60"
2024,9930.38331562678,"opilio","pcod60"
1985,44264.3330552513,"opilio","pcod60p"
1986,40152.4775268033,"opilio","pcod60p"
1987,31186.6818106401,"opilio","pcod60p"
1988,7840.65309820846,"opilio","pcod60p"
1989,27218.437754314,"opilio","pcod60p"
1990,14601.6526652084,"opilio","pcod60p"
1991,11809.1293284753,"opilio","pcod60p"
1992,11185.4230728066,"opilio","pcod60p"
1993,6219.20031774494,"opilio","pcod60p"
1994,27629.7811512108,"opilio","pcod60p"
1995,9166.2031640249,"opilio","pcod60p"
1996,14124.2124904004,"opilio","pcod60p"
1997,21468.1840414942,"opilio","pcod60p"
1998,18972.6093257434,"opilio","pcod60p"
1999,9334.84626942853,"opilio","pcod60p"
2000,11900.036421389,"opilio","pcod60p"
2001,19748.9441882113,"opilio","pcod60p"
2002,8508.02444838737,"opilio","pcod60p"
2003,8547.48837455079,"opilio","pcod60p"
2004,NA,"opilio","pcod60p"
2005,21545.6288651314,"opilio","pcod60p"
2006,2739.67366520449,"opilio","pcod60p"
2007,5452.27126369096,"opilio","pcod60p"
2008,8308.03265345081,"opilio","pcod60p"
2009,5632.63221659043,"opilio","pcod60p"
2010,8329.73616815844,"opilio","pcod60p"
2011,9841.58981585982,"opilio","pcod60p"
2012,6561.05749203721,"opilio","pcod60p"
2013,13120.874516756,"opilio","pcod60p"
2014,25155.730917264,"opilio","pcod60p"
2015,30004.7064931269,"opilio","pcod60p"
2016,31431.0050737393,"opilio","pcod60p"
2017,16283.1558527346,"opilio","pcod60p"
2018,25507.7856181369,"opilio","pcod60p"
2019,11338.8130931601,"opilio","pcod60p"
2020,NA,"opilio","pcod60p"
2021,9848.92945675637,"opilio","pcod60p"
2022,12709.9944024671,"opilio","pcod60p"
2023,9075.21962517644,"opilio","pcod60p"
2024,8109.43647261156,"opilio","pcod60p"
