ParName   Value   Gradient
log_n_imm(1)      15.5037     -2.21483
log_n_imm(2)      17.1515     -38.7814
log_n_imm(3)      20.1315      -314.57
log_n_imm(4)      20.3812     -99.4744
log_n_imm(5)      21.0499     -111.974
log_n_imm(6)      20.4592      -393.23
log_n_imm(7)      14.9609     -84.3259
log_n_imm(8)      19.7109     -322.601
log_n_imm(9)      19.5163     -210.658
log_n_imm(10)      18.8635     -105.798
log_n_imm(11)      19.6254     -45.0619
log_n_imm(12)      15.8341     -42.7457
log_n_imm(13)      18.1945     -157.264
log_n_imm(14)      16.1771     -45.1823
log_n_imm(15)      14.3621     -12.1403
log_n_imm(16)      16.2597     -96.8237
log_n_imm(17)       12.533     -10.1581
log_n_imm(18)      11.7648    -0.381894
log_n_imm(19)      9.96081    -0.873511
log_n_imm(20)      6.60783   -0.0239656
log_n_imm(21)      6.69784  -0.00961901
log_n_mat(1)      19.1026      2.65756
log_n_mat(2)      12.4615    0.0097198
log_n_mat(3)      15.6618    -0.231367
log_n_mat(4)      11.1069     -8.54557
log_n_mat(5)      18.9159      29.1962
log_n_mat(6)      16.9192     -46.9991
log_n_mat(7)       18.079     -30.9844
log_n_mat(8)       11.595     -57.6583
log_n_mat(9)      19.2988      43.2513
log_n_mat(10)      17.7277     -61.3577
log_n_mat(11)      15.8899     -55.2838
log_n_mat(12)      19.3401      46.5582
log_n_mat(13)      16.6579      -28.619
log_n_mat(14)       18.294     -39.0203
log_n_mat(15)      18.2812     -44.1587
log_n_mat(16)       12.682     -12.0919
log_n_mat(17)      15.2387     -60.8617
log_n_mat(18)      16.4225     -10.2541
log_n_mat(19)       13.289     -10.8456
log_n_mat(20)      12.3837      -3.4397
log_n_mat(21)      11.9143    -0.804178
nat_m_dev(1982)    -0.193234      89.9579
nat_m_dev(1983)    -0.195578      83.1317
nat_m_dev(1984)    -0.527444       40.754
nat_m_dev(1985)     -1.08078      11.2458
nat_m_dev(1986)    -0.780392      17.3781
nat_m_dev(1987)    -0.661194      23.6496
nat_m_dev(1988)    -0.608926      30.2565
nat_m_dev(1989)    -0.391677      41.1665
nat_m_dev(1990)   -0.0758339      59.8116
nat_m_dev(1991)     0.192669      71.7056
nat_m_dev(1992)    -0.176249      40.4541
nat_m_dev(1993)     0.533378      50.6628
nat_m_dev(1994)     0.360493      28.4062
nat_m_dev(1995)     0.398869      20.7184
nat_m_dev(1996)     0.561006      20.4497
nat_m_dev(1997)     0.797672      36.1901
nat_m_dev(1998)     0.271645      41.5686
nat_m_dev(1999)    -0.699742      27.6595
nat_m_dev(2000)    -0.333214      41.1309
nat_m_dev(2001)     0.240596      67.9456
nat_m_dev(2002)     0.283212      81.4906
nat_m_dev(2003)   -0.0849258       56.454
nat_m_dev(2004)      0.21779      64.7755
nat_m_dev(2005)    -0.370753      35.9095
nat_m_dev(2006)    -0.406014        34.25
nat_m_dev(2007)    -0.164514      37.1669
nat_m_dev(2008)    -0.262894      35.9478
nat_m_dev(2009)     -0.14976      42.9629
nat_m_dev(2010)     0.592208      73.6563
nat_m_dev(2011)     0.573222      79.2758
nat_m_dev(2012)      0.19278      61.3329
nat_m_dev(2013)  -0.00298457      49.8674
nat_m_dev(2014)     0.781947      81.8046
nat_m_dev(2015)     0.636286      57.8485
nat_m_dev(2016)     0.157368      26.4199
nat_m_dev(2017)    -0.108859      7.39442
nat_m_dev(2018)     0.298516      -22.392
nat_m_dev(2019)     0.639036     -59.3276
nat_m_dev(2020)            0      14.0853
nat_m_dev(2021)    -0.927254      6.59814
nat_m_dev(2022)   -0.0548514       16.391
nat_m_dev(2023)     0.329038      16.0521
nat_m_mat_dev(1982)     0.514379      1.50886
nat_m_mat_dev(1983)     0.994286      23.6634
nat_m_mat_dev(1984)      2.88049      2157.72
nat_m_mat_dev(1985)    -0.162366     -149.017
nat_m_mat_dev(1986)     -1.14019      -144.44
nat_m_mat_dev(1987)     -1.22066      -149.73
nat_m_mat_dev(1988)   -0.0636839     -110.392
nat_m_mat_dev(1989)   -0.0149967     -108.416
nat_m_mat_dev(1990)      1.02645      9.18198
nat_m_mat_dev(1991)      1.44551      200.949
nat_m_mat_dev(1992)     0.426048     -18.5326
nat_m_mat_dev(1993)    -0.118184     -82.3663
nat_m_mat_dev(1994)     0.180553      -64.903
nat_m_mat_dev(1995)     0.111632     -84.9523
nat_m_mat_dev(1996)    0.0223199     -89.7735
nat_m_mat_dev(1997)       0.1675     -83.1425
nat_m_mat_dev(1998)     0.320852     -72.3118
nat_m_mat_dev(1999)    -0.516571     -111.306
nat_m_mat_dev(2000)     -1.03972     -127.912
nat_m_mat_dev(2001)    -0.179349     -102.162
nat_m_mat_dev(2002)   -0.0908842      -85.309
nat_m_mat_dev(2003)    -0.375119     -76.9495
nat_m_mat_dev(2004)    -0.696431     -95.9733
nat_m_mat_dev(2005)    -0.100554     -85.0887
nat_m_mat_dev(2006)    0.0241371     -88.1773
nat_m_mat_dev(2007)     0.225622     -56.7218
nat_m_mat_dev(2008)    -0.124076     -78.8965
nat_m_mat_dev(2009)     -1.20717     -121.922
nat_m_mat_dev(2010)     -1.09625     -112.947
nat_m_mat_dev(2011)    -0.526419     -101.799
nat_m_mat_dev(2012)    0.0350657     -81.8671
nat_m_mat_dev(2013)    0.0458641     -65.9562
nat_m_mat_dev(2014)     0.295392     -30.3333
nat_m_mat_dev(2015)    -0.131763     -94.6542
nat_m_mat_dev(2016)    -0.314257     -112.534
nat_m_mat_dev(2017)    -0.292679     -93.2172
nat_m_mat_dev(2018)     0.284332     -58.3046
nat_m_mat_dev(2019)      1.47163      8.31546
nat_m_mat_dev(2020)            0     -148.688
nat_m_mat_dev(2021)     0.457999     -215.275
nat_m_mat_dev(2022)    -0.164181     -160.995
nat_m_mat_dev(2023)     -1.17606     -149.531
nat_m_lg_dev(1982)     0.328514     -2.32223
nat_m_lg_dev(1983)    -0.338661     -2.32166
nat_m_lg_dev(1984)    -0.204938     -2.32698
nat_m_lg_dev(1985)     0.283274     -2.32425
nat_m_lg_dev(1986)   -0.0474796      -2.3299
nat_m_lg_dev(1987)     0.133332     -2.32878
nat_m_lg_dev(1988)     0.313514     -2.32293
nat_m_lg_dev(1989)     -0.18164     -2.32764
nat_m_lg_dev(1990)    0.0198021     -2.33004
nat_m_lg_dev(1991)     0.224672     -2.32641
nat_m_lg_dev(1992)    0.0140219     -2.33005
nat_m_lg_dev(1993)    -0.021449     -2.33003
nat_m_lg_dev(1994)     0.531336     -2.30948
nat_m_lg_dev(1995)     -0.19099     -2.32739
nat_m_lg_dev(1996)    -0.252552     -2.32539
nat_m_lg_dev(1997)    -0.134087     -2.32874
nat_m_lg_dev(1998)     0.213077     -2.32678
nat_m_lg_dev(1999)  -0.00712793     -2.33006
nat_m_lg_dev(2000)    -0.179395      -2.3277
nat_m_lg_dev(2001)    -0.161596     -2.32814
nat_m_lg_dev(2002)    0.0953229     -2.32941
nat_m_lg_dev(2003)    -0.143037     -2.32856
nat_m_lg_dev(2004)    0.0605891      -2.3298
nat_m_lg_dev(2005)    0.0887549      -2.3295
nat_m_lg_dev(2006)     0.118115     -2.32906
nat_m_lg_dev(2007)    -0.131085      -2.3288
nat_m_lg_dev(2008)    -0.242482     -2.32575
nat_m_lg_dev(2009)   -0.0718784     -2.32968
nat_m_lg_dev(2010)   -0.0811595     -2.32958
nat_m_lg_dev(2011)    -0.175754     -2.32779
nat_m_lg_dev(2012)    0.0315558        -2.33
nat_m_lg_dev(2013)     0.404181     -2.31818
nat_m_lg_dev(2014)   -0.0333009     -2.32998
nat_m_lg_dev(2015)    -0.174525     -2.32783
nat_m_lg_dev(2016)    0.0748011     -2.32967
nat_m_lg_dev(2017)   -0.0629408     -2.32977
nat_m_lg_dev(2018)     0.314782     -2.32287
nat_m_lg_dev(2019)   -0.0306761     -2.32999
nat_m_lg_dev(2020)    -0.171259     -2.32791
nat_m_lg_dev(2021)    -0.125064     -2.32891
nat_m_lg_dev(2022)     0.067388     -2.32974
nat_m_lg_dev(2023)    -0.153957     -2.32832
log_avg_rec      20.8562     -8704.95
rec_devs(1982)     0.755178      886.697
rec_devs(1983)     0.207578      878.281
rec_devs(1984)      0.44143      831.193
rec_devs(1985)      1.61909      863.638
