ParName   Value   Gradient
log_n_imm(1)      18.6691  1.24626e-06
log_n_imm(2)      19.8118 -5.80034e-07
log_n_imm(3)      19.8394 -5.16595e-06
log_n_imm(4)      17.6737  7.48793e-07
log_n_imm(5)      18.5256  6.29967e-07
log_n_imm(6)      18.1739  1.33481e-06
log_n_imm(7)      18.8322   9.2308e-07
log_n_imm(8)      18.6842   3.8405e-07
log_n_imm(9)      18.2339 -5.30692e-07
log_n_imm(10)      18.2965  8.73903e-07
log_n_imm(11)      18.3751 -1.04268e-06
log_n_imm(12)      18.2437 -7.82254e-07
log_n_imm(13)      18.0067  6.25202e-07
log_n_imm(14)      17.8206 -3.00815e-07
log_n_imm(15)      17.5265  7.16382e-08
log_n_imm(16)      17.6009  1.49374e-06
log_n_imm(17)      17.2797 -1.68342e-06
log_n_imm(18)      17.2022 -2.11589e-07
log_n_imm(19)      16.7885  5.19163e-07
log_n_imm(20)      16.7568 -9.81038e-07
log_n_imm(21)      16.4674 -3.63857e-07
log_n_imm(22)      15.9383 -3.18035e-06
log_n_imm(23)      15.2452 -1.84065e-07
log_n_imm(24)      14.8632 -3.54396e-07
log_n_imm(25)      13.6222  5.06008e-07
log_n_imm(26)      12.7184   9.7599e-07
log_n_imm(27)      1.61673 -8.31103e-07
log_n_imm(28)      1.10385 -6.69578e-07
log_n_imm(29)      1.23967 -9.86906e-08
log_n_imm(30)      1.24935  5.78885e-08
log_n_imm(31)      1.08223  8.27667e-07
log_n_imm(32)      1.51135  6.41543e-07
log_n_mat(1)       17.648 -9.80508e-07
log_n_mat(2)      18.1239  8.08402e-07
log_n_mat(3)      17.8708  -3.8613e-07
log_n_mat(4)      18.4079  1.29886e-06
log_n_mat(5)        17.84  4.24037e-06
log_n_mat(6)      17.4929 -9.41574e-07
log_n_mat(7)      15.6722  2.69113e-07
log_n_mat(8)      16.1619  2.91312e-07
log_n_mat(9)      16.3562  3.46373e-08
log_n_mat(10)      16.1176  5.13606e-07
log_n_mat(11)      16.7134 -8.93853e-08
log_n_mat(12)       17.035  -4.5736e-07
log_n_mat(13)      17.2005   -2.192e-07
log_n_mat(14)      17.5407  -1.2293e-06
log_n_mat(15)      17.6691 -5.28282e-07
log_n_mat(16)      17.4772  1.36279e-07
log_n_mat(17)      17.4827  3.25938e-07
log_n_mat(18)      17.6413 -9.60334e-07
log_n_mat(19)      17.5627  1.25522e-06
log_n_mat(20)      17.9291 -5.32897e-07
log_n_mat(21)      17.9968 -4.70567e-06
log_n_mat(22)      18.0643 -1.34527e-06
log_n_mat(23)      18.2211 -1.60115e-06
log_n_mat(24)      18.3656 -3.87131e-06
log_n_mat(25)      17.9288  1.90511e-06
log_n_mat(26)      18.1607 -6.12903e-07
log_n_mat(27)      18.3052 -3.62793e-06
log_n_mat(28)      18.0607 -1.94991e-06
log_n_mat(29)      17.6117 -1.67088e-07
log_n_mat(30)       16.967 -6.11809e-07
log_n_mat(31)      16.0916 -5.15091e-06
log_n_mat(32)      14.9765 -2.24268e-07
nat_m_dev(1975)     0.388578 -4.02312e-06
nat_m_dev(1976)    0.0273301 -1.50564e-06
nat_m_dev(1977)   -0.0713345 -3.04263e-07
nat_m_dev(1978)    -0.200047    1.565e-06
nat_m_dev(1979)    -0.346718 -1.06086e-06
nat_m_dev(1980)    0.0248184   2.7381e-06
nat_m_dev(1981)   -0.0110273  2.27671e-06
nat_m_dev(1982)    -0.359062  3.36664e-06
nat_m_dev(1983)    -0.351576 -4.62401e-09
nat_m_dev(1984)     -0.38504   -2.223e-07
nat_m_dev(1985)    -0.744169  8.90689e-07
nat_m_dev(1986)    -0.918251 -2.95649e-07
nat_m_dev(1987)     -1.04546  1.47446e-06
nat_m_dev(1988)      -1.1096  1.36435e-06
nat_m_dev(1989)    -0.969894  6.30471e-07
nat_m_dev(1990)    -0.677486 -1.40089e-06
nat_m_dev(1991)    -0.250005 -3.91773e-06
nat_m_dev(1992)    0.0885429 -3.59611e-06
nat_m_dev(1993)     0.921327 -2.50369e-06
nat_m_dev(1994)       1.1415 -3.98039e-06
nat_m_dev(1995)     0.386087   1.9592e-06
nat_m_dev(1996)      0.20224 -1.34081e-06
nat_m_dev(1997)   0.00679198  -5.4176e-07
nat_m_dev(1998)    0.0374204  2.07963e-06
nat_m_dev(1999)   -0.0141778  3.74634e-06
nat_m_dev(2000)    -0.162989  3.92391e-06
nat_m_dev(2001)     0.156077  8.86329e-06
nat_m_dev(2002)   -0.0845898  4.23643e-06
nat_m_dev(2003)    -0.426053  4.75534e-06
nat_m_dev(2004)    -0.800611   2.2282e-06
nat_m_dev(2005)    -0.842432  4.17646e-06
nat_m_dev(2006)    -0.701596 -2.28089e-06
nat_m_dev(2007)    -0.232575  2.41451e-06
nat_m_dev(2008)      1.55177  1.99641e-05
nat_m_dev(2009)    -0.347956 -2.91603e-06
nat_m_dev(2010)      -0.4892 -2.74034e-06
nat_m_dev(2011)    -0.380744  2.91054e-06
nat_m_dev(2012)    0.0289579 -4.40726e-06
nat_m_dev(2013)     0.314647  6.31838e-06
nat_m_dev(2014)      1.17674  6.46051e-06
nat_m_dev(2015)      1.14168  5.27778e-06
nat_m_dev(2016)     0.841803  2.72656e-06
nat_m_dev(2017)    0.0735124   1.3187e-06
nat_m_dev(2018)     0.467503  9.38212e-08
nat_m_dev(2019)       1.0496  2.84312e-07
nat_m_dev(2020)      0.62545 -4.77104e-07
nat_m_dev(2021)     0.416958 -1.07986e-06
nat_m_dev(2022)     0.056467 -1.04905e-06
nat_m_dev(2023)     0.796804  1.55293e-06
nat_m_mat_dev(1975)     0.352395  -5.5242e-08
nat_m_mat_dev(1976)     0.145083  5.83145e-07
nat_m_mat_dev(1977)     0.288291  9.58744e-07
nat_m_mat_dev(1978)    0.0666057  3.85665e-07
nat_m_mat_dev(1979)    -0.747515  5.49226e-06
nat_m_mat_dev(1980)    -0.270646 -4.43304e-06
nat_m_mat_dev(1981)   -0.0653527 -4.48776e-06
nat_m_mat_dev(1982)     0.771724 -5.60398e-06
nat_m_mat_dev(1983)   -0.0424061 -3.67531e-06
nat_m_mat_dev(1984)    -0.700709  -3.6989e-06
nat_m_mat_dev(1985)     -1.17529 -2.30602e-06
nat_m_mat_dev(1986)     -1.24286 -2.92595e-06
nat_m_mat_dev(1987)      -1.2236  4.83227e-06
nat_m_mat_dev(1988)    -0.937578  -2.3263e-06
nat_m_mat_dev(1989)    -0.566125 -8.82827e-07
nat_m_mat_dev(1990)    -0.320937 -1.70213e-06
nat_m_mat_dev(1991)    0.0198194  6.81473e-07
nat_m_mat_dev(1992)     0.979503 -5.49704e-06
nat_m_mat_dev(1993)    0.0890078  5.22476e-06
nat_m_mat_dev(1994)    -0.150616 -4.64148e-06
nat_m_mat_dev(1995)   -0.0310026 -4.50445e-06
nat_m_mat_dev(1996)      1.10379 -4.11764e-06
nat_m_mat_dev(1997)   -0.0932958  2.76393e-06
nat_m_mat_dev(1998)    -0.429525  2.59403e-06
nat_m_mat_dev(1999)    -0.396866 -2.08312e-06
nat_m_mat_dev(2000)    -0.410041 -2.53033e-06
