"stock","curve","size_mm","selectivity"
"Snow",1,32.5,0.0274396
"Snow",1,37.5,0.0512821
"Snow",1,42.5,0.0883508
"Snow",1,47.5,0.135702
"Snow",1,52.5,0.183268
"Snow",1,57.5,0.221384
"Snow",1,62.5,0.247949
"Snow",1,67.5,0.266714
"Snow",1,72.5,0.282819
"Snow",1,77.5,0.300891
"Snow",1,82.5,0.325067
"Snow",1,87.5,0.359302
"Snow",1,92.5,0.407147
"Snow",1,97.5,0.470635
"Snow",1,102.5,0.548513
"Snow",1,107.5,0.635068
"Snow",1,112.5,0.721249
"Snow",1,117.5,0.798135
"Snow",1,122.5,0.860289
"Snow",1,127.5,0.906648
"Snow",1,132.5,0.939192
"Tanner",1,27.5,0.0289843
"Tanner",1,32.5,0.0333022
"Tanner",1,37.5,0.038238
"Tanner",1,42.5,0.0438721
"Tanner",1,47.5,0.050293
"Tanner",1,52.5,0.057597
"Tanner",1,57.5,0.0658882
"Tanner",1,62.5,0.0752775
"Tanner",1,67.5,0.0858818
"Tanner",1,72.5,0.0978219
"Tanner",1,77.5,0.11122
"Tanner",1,82.5,0.126197
"Tanner",1,87.5,0.142866
"Tanner",1,92.5,0.16133
"Tanner",1,97.5,0.181674
"Tanner",1,102.5,0.203961
"Tanner",1,107.5,0.228218
"Tanner",1,112.5,0.254438
"Tanner",1,117.5,0.282568
"Tanner",1,122.5,0.312504
"Tanner",1,127.5,0.34409
"Tanner",1,132.5,0.377117
"Tanner",1,137.5,0.411326
"Tanner",1,142.5,0.446414
"Tanner",1,147.5,0.482044
"Tanner",1,152.5,0.517856
"Tanner",1,157.5,0.553486
"Tanner",1,162.5,0.588574
"Tanner",1,167.5,0.622783
"Tanner",1,172.5,0.65581
"Tanner",1,177.5,0.687396
"Tanner",1,182.5,0.717332
"BBRKC",1,47.5,0.053394
"BBRKC",1,52.5,0.0754719
"BBRKC",1,57.5,0.10566
"BBRKC",1,62.5,0.146016
"BBRKC",1,67.5,0.198366
"BBRKC",1,72.5,0.26369
"BBRKC",1,77.5,0.341366
"BBRKC",1,82.5,0.428603
"BBRKC",1,87.5,0.520516
"BBRKC",1,92.5,0.61106
"BBRKC",1,97.5,0.694541
"BBRKC",1,102.5,0.766937
"BBRKC",1,107.5,0.826462
"BBRKC",1,112.5,0.873296
"BBRKC",1,117.5,0.908884
"BBRKC",1,122.5,0.935217
"BBRKC",1,127.5,0.954323
"BBRKC",1,132.5,0.967987
"BBRKC",1,137.5,0.977659
"BBRKC",1,142.5,0.984456
"BBRKC",1,147.5,0.989208
"BBRKC",1,152.5,0.992518
"BBRKC",1,157.5,0.994818
"BBRKC",1,162.5,0.996414
"BBRKC",1,167.5,0.997519
"PIRKC",1,47.5,0.00181879
"PIRKC",1,52.5,0.00262137
"PIRKC",1,57.5,0.00377678
"PIRKC",1,62.5,0.00543867
"PIRKC",1,67.5,0.0078261
"PIRKC",1,72.5,0.0112497
"PIRKC",1,77.5,0.0161466
"PIRKC",1,82.5,0.0231252
"PIRKC",1,87.5,0.0330188
"PIRKC",1,92.5,0.0469417
"PIRKC",1,97.5,0.0663328
"PIRKC",1,102.5,0.0929527
"PIRKC",1,107.5,0.128782
"PIRKC",1,112.5,0.175746
"PIRKC",1,117.5,0.235213
"PIRKC",1,122.5,0.3073
"PIRKC",1,127.5,0.390208
"PIRKC",1,132.5,0.479984
"PIRKC",1,137.5,0.571072
"PIRKC",1,142.5,0.657587
"PIRKC",1,147.5,0.734757
"PIRKC",1,152.5,0.799829
"PIRKC",1,157.5,0.852149
"PIRKC",1,162.5,0.89263
"PIRKC",1,167.5,0.923028
"PIRKC",1,172.5,0.945347
"PIRKC",1,177.5,0.961465
"PIRKC",1,182.5,0.972965
"PIRKC",1,187.5,0.981101
"PIRKC",1,192.5,0.986821
"PIRKC",1,197.5,0.990827
"PIRKC",1,202.5,0.993622
"PIRKC",1,207.5,0.99557
"SMBKC",1,47.5,0.0188576
"SMBKC",1,52.5,0.033092
"SMBKC",1,57.5,0.0574422
"SMBKC",1,62.5,0.0978958
"SMBKC",1,67.5,0.161944
"SMBKC",1,72.5,0.256004
"SMBKC",1,77.5,0.379929
"SMBKC",1,82.5,0.521772
"SMBKC",1,87.5,0.660188
"SMBKC",1,92.5,0.77576
"SMBKC",1,97.5,0.86034
"SMBKC",1,102.5,0.916454
"SMBKC",1,107.5,0.951298
"SMBKC",1,112.5,0.972053
"SMBKC",1,117.5,0.984111
"SMBKC",1,122.5,0.991014
"SMBKC",1,127.5,0.994934
"SMBKC",1,132.5,0.997149
"SMBKC",1,137.5,0.998397
"SMBKC",1,142.5,0.999099
"SMBKC",1,147.5,0.999494
"SMBKC",1,152.5,0.999716
"SMBKC",1,157.5,0.99984
"SMBKC",1,162.5,0.99991
"SMBKC",1,167.5,0.99995
"PIBKC",1,47.5,0.0464725
"PIBKC",1,52.5,0.0638323
"PIBKC",1,57.5,0.0870847
"PIBKC",1,62.5,0.117742
"PIBKC",1,67.5,0.157332
"PIBKC",1,72.5,0.207109
"PIBKC",1,77.5,0.267632
"PIBKC",1,82.5,0.338296
"PIBKC",1,87.5,0.416994
"PIBKC",1,92.5,0.500162
"PIBKC",1,97.5,0.583321
"PIBKC",1,102.5,0.661994
"PIBKC",1,107.5,0.732622
"PIBKC",1,112.5,0.793104
"PIBKC",1,117.5,0.84284
"PIBKC",1,122.5,0.882393
"PIBKC",1,127.5,0.913018
"PIBKC",1,132.5,0.936245
"PIBKC",1,137.5,0.953585
"PIBKC",1,142.5,0.966378
"PIBKC",1,147.5,0.975735
"PIBKC",1,152.5,0.982535
"PIBKC",1,157.5,0.987454
"PIBKC",1,162.5,0.991
"PIBKC",1,167.5,0.99355
"PIBKC",1,172.5,0.995381
"PIBKC",1,177.5,0.996694
"PIBKC",1,182.5,0.997635
"PIBKC",1,187.5,0.998308
